"subjnum" "catt33G2" "G2m1_rpdi" "G2m2_pdi" "G2m3_rpd0" "G2m4_pd0" "G2m5_rpd1" "G2m6_pd1" "G2m7_rpi" "G2m8_pi" "G2m9_rp0" "G2m10_p0" "G2m11_rp1" "G2m12_p1" "G2m13_rdi" "G2m14_di" "G2m15_rd0" "G2m16_d0" "G2m17_rd1" "G2m18_d1" "G2m19_ri" "G2m20_i" "G2m21_r0" "G2m22_0" "G2m23_r1" "G2m24_1" "BICm1_rpdi" "BICm2_pdi" "BICm3_rpd0" "BICm4_pd0" "BICm5_rpd1" "BICm6_pd1" "BICm7_rpi" "BICm8_pi" "BICm9_rp0" "BICm10_p0" "BICm11_rp1" "BICm12_p1" "BICm13_rdi" "BICm14_di" "BICm15_rd0" "BICm16_d0" "BICm17_rd1" "BICm18_d1" "BICm19_ri" "BICm20_i" "BICm21_r0" "BICm22_0" "BICm23_r1" "BICm24_1" "subjnum" "m5_rpd1_r" "m5_rpd1_p" "m5_rpd1_d" "m5_rpd1_i"
"s18" 18 157.030919703447 NA NA NA NA 36.8793038960958 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 49.9494303761645 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 18 0.62653011268979 0.878841103312678 4.99999620115374 0.0100000000000064
"s19" 19 158.383860265516 NA NA NA NA 67.4808605105028 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 80.9128709539374 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 19 1 0.0823674538638818 0.249549557712967 0.0100000009754489
"s20" 20 106.432646551627 NA NA NA NA 1.22764356770628 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 14.0576419247544 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20 0.179966843024897 0.999998427021267 4.9999999036574 0.0100021231279817
"s21" 21 102.613561526859 NA NA NA NA 10.6493527019386 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 23.3516722157304 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21 0.999999999999999 0.950459257644551 0.549239959888979 0.01
"s22" 22 138.035674829593 NA NA NA NA 53.5183678171807 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 66.6644477212024 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 22 0.548612629737761 0.829087914649605 0.811611955518307 3.21453454458181
"s23" 23 109.204635288865 NA NA NA NA 15.0864390126454 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27.9164373696935 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 23 0.999999916518507 0.693605623334425 1.16802020809184 0.0100038185794244
"s24" 24 124.584007410215 NA NA NA NA 32.2438581449783 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45.3899380489999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24 0.981509243172475 0.999960842370507 0.208982692685671 0.0196748082446295
"s25" 25 115.795709050872 NA NA NA NA 44.1450792296036 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 57.0975435702125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 25 0.992572548197635 0.999887936820251 0.158423614446933 0.0199256451284902
"s26" 26 102.613561526859 NA NA NA NA 0.479704040619153 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 13.1820235544109 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 26 0.532523154921626 0.999999999999953 5 0.01
"s27" 27 124.853127285579 NA NA NA NA 22.0571636841536 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 34.8871620412017 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27 0.543172446659764 0.995144841402248 1.43876897311236 0.758220220093429
"s28" 28 102.613561526859 NA NA NA NA 3.5070032231838 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 16.2093227369756 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 28 0.837771216382406 0.945930468083617 1.76258281166644 1.4541382015147
"s29" 29 121.000788444259 NA NA NA NA 23.8227580903048 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 36.8928845703736 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29 1 0.428685706444006 0.328862916631588 4.99999575185766
"s30" 30 102.613561526859 NA NA NA NA 0.479704040619153 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 13.1820235544109 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 30 0.532523154921626 0.999999999999953 5 0.01
"s31" 31 102.613561526859 NA NA NA NA 5.59274013500111 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 18.2950596487929 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 31 1 1 0.473421499869935 0.01
